網站,地區,標題,租金,坪數,樓層,格局,地址,電梯,車位,連結
永慶,淡水區,將捷之森高質感2房,25000,36.32,12/14,2房2廳1衛,淡水區淡金路二段,有,有,https://rent.yungching.com.tw/house/2397468
永慶,淡水區,淡水青山社區,25000,45.58,16/23,3房2廳2衛,淡水區北新路,,,https://rent.yungching.com.tw/house/2396914
永慶,淡水區,宏盛新世界三房可租,25000,46.83,21/23,3房2廳2衛,淡水區沙崙路一段,,有,https://rent.yungching.com.tw/house/2402602
永慶,淡水區,近竹圍捷運站2+3樓大,25000,24.68,2/2,5房3廳2衛,淡水區民權路,,,https://rent.yungching.com.tw/house/2401977
永慶,淡水區,可租補輕軌心之界方正,25000,48.14,8/13,3房2廳2衛,淡水區濱海路三段,有,有,https://rent.yungching.com.tw/house/2401189
永慶,淡水區,一森原兩房大陽台高樓,25000,27.90,22/29,2房2廳1衛,淡水區中正路二段,有,,https://rent.yungching.com.tw/house/2390921
永慶,淡水區,海洋都心2漂亮格局,25000,46.12,19/29,3房2廳2衛,淡水區新市三路二段,有,有,https://rent.yungching.com.tw/house/2383186
永慶,淡水區,新市168精裝美少,25000,40.78,7/15,2房1廳1衛,淡水區濱海路二段,有,有,https://rent.yungching.com.tw/house/2404578
永慶,淡水區,南加州正排海景2房,25000,19.18,9/24,,淡水區民權路,有,,https://rent.yungching.com.tw/house/2399301
永慶,淡水區,山海青高樓三房車含管,25000,48.97,12/12,3房2廳2衛,淡水區新市二路四段,,有,https://rent.yungching.com.tw/house/2393033
永慶,淡水區,近輕軌大旭第四房,25000,42.22,6/17,4房1廳2衛,淡水區北新路,,,https://rent.yungching.com.tw/house/2404097
永慶,淡水區,新浦東採光佳2房,26000,40.51,14/15,2房2廳1衛,淡水區淡水區新市一路三段,,有,https://rent.yungching.com.tw/house/2404826
永慶,淡水區,九泰兩房出租,26000,38.06,10/15,2房2廳1衛,淡水區淡水區中山北路二段,,有,https://rent.yungching.com.tw/house/2402012
永慶,淡水區,麗緻花園精美三房,26000,32.52,8/14,3房2廳2衛,淡水區淡水區新民街,有,,https://rent.yungching.com.tw/house/2397261
永慶,淡水區,四季水漾朝南面溪大三房,26000,54.52,6/15,3房2廳2衛,淡水區淡水區中山北路三段,,有,https://rent.yungching.com.tw/house/2404686
永慶,淡水區,新浦東可租補採光通風佳2房,26000,39.92,3/15,2房2廳1衛,淡水區淡水區新市一路三段,有,有,https://rent.yungching.com.tw/house/2405594
永慶,淡水區,幸福城邊間一樓+地下,26000,33.24,B1~1/5,4房2廳2衛,淡水區學府路,,,https://rent.yungching.com.tw/house/2388013
永慶,淡水區,聯園璞玉邊間景觀大兩房,26000,43.53,7/15,2房2廳1衛,淡水區新市一路一段,有,有,https://rent.yungching.com.tw/house/2394041
永慶,淡水區,馥樂樂精緻全配家具高樓景,26000,28.86,13/13,2房2廳2衛,淡水區中山北路三段,有,,https://rent.yungching.com.tw/house/2404814
永慶,淡水區,海樂地裝潢海景2房,26000,35.19,23/23,2房1廳1衛,淡水區沙崙路二段,有,有,https://rent.yungching.com.tw/house/2404059
永慶,淡水區,低調奢華天駿好屋況三房,26000,46.80,4/17,3房2廳2衛,淡水區濱海路二段,,有,https://rent.yungching.com.tw/house/2385290
永慶,淡水區,將捷之森採光兩房附平面車,26000,36.32,9/14,2房2廳1衛,淡水區淡金路二段,,有,https://rent.yungching.com.tw/house/2397232
永慶,淡水區,新潤心苑三房車,26000,45.43,12/15,3房2廳2衛,淡水區濱海路二段,,有,https://rent.yungching.com.tw/house/2404783
永慶,淡水區,捷運紅樹林站清淞山河景觀1+,26800,35.41,17/29,1房2廳1衛,淡水區淡水區淡金路,,,https://rent.yungching.com.tw/house/2404171
永慶,淡水區,四季之旅溫馨質感三房,27000,33.06,20/22,3房2廳2衛,淡水區淡水區新市一路一段,有,,https://rent.yungching.com.tw/house/2393465
永慶,淡水區,傳家雅苑3改大2房平車,27000,53.39,12/15,2房2廳2衛,淡水區淡水區新市一路三段,,有,https://rent.yungching.com.tw/house/2377823
永慶,淡水區,A665將捷之森全配2,27000,39.52,20/26,2房2廳2衛,淡水區淡水區淡金路二段,,有,https://rent.yungching.com.tw/house/2405313
永慶,淡水區,淡水市中心大三房平車,27500,44.04,7/10,3房2廳2衛,淡水區淡水區中山北路一段,有,有,https://rent.yungching.com.tw/house/2398989
永慶,淡水區,A695布拉諾高樓美2房,27800,33.91,11/11,2房2廳1衛,淡水區淡水區坪頂路,,有,https://rent.yungching.com.tw/house/2404298
永慶,淡水區,一森原日本和室房,28000,27.90,22/29,2房1廳1衛,淡水區淡水區中正路二段,有,,https://rent.yungching.com.tw/house/2403726
永慶,淡水區,宏盛水悅高樓景觀3房平,28000,54.06,17/26,3房2廳2衛,淡水區新市三路一段,有,有,https://rent.yungching.com.tw/house/2400296
永慶,淡水區,park188,28000,43.48,9/15,3房2廳2衛,淡水區新市二路三段,,有,https://rent.yungching.com.tw/house/2394853
永慶,淡水區,電梯大坪數4房配傢俱電,28000,60.05,6/7,4房2廳2衛,淡水區北新路,,,https://rent.yungching.com.tw/house/2404176
永慶,淡水區,紅樹林富陽海悅可租補,28000,29.50,33/33,3房2廳1衛,淡水區中正東路二段,,有,https://rent.yungching.com.tw/house/2403721
永慶,淡水區,海樂地兩房兩廳兩衛輕軌,28000,42.49,6/23,2房2廳2衛,淡水區沙崙路二段,有,有,https://rent.yungching.com.tw/house/2399217
永慶,淡水區,海景來來四房車,28000,67.60,8/15,4房2廳2衛,淡水區沙崙路,有,有,https://rent.yungching.com.tw/house/2403329
永慶,淡水區,名軒海樂地,28500,41.78,22/22,2房2廳2衛,淡水區淡水區沙崙路二段,有,有,https://rent.yungching.com.tw/house/2399271
永慶,淡水區,宏盛水悅百萬裝潢三改二,28500,43.76,10/23,2房2廳2衛,淡水區新市三路一段,有,有,https://rent.yungching.com.tw/house/2397364
永慶,淡水區,宏盛新世界3房,28500,46.83,10/23,3房2廳2衛,淡水區沙崙路一段,有,有,https://rent.yungching.com.tw/house/2398782
永慶,淡水區,心居易2+1房,29000,42.26,9/9,3房2廳2衛,淡水區淡水區新春街,,有,https://rent.yungching.com.tw/house/2404570
永慶,淡水區,鴻灃青景觀三房車,29000,48.09,9/15,3房2廳2衛,淡水區濱海路一段,,有,https://rent.yungching.com.tw/house/2401877
永慶,淡水區,山海觀遠眺山海景觀3房車,29000,56.87,5/6,3房2廳2衛,淡水區八勢路一段,,有,https://rent.yungching.com.tw/house/2395300
永慶,淡水區,Park18,29000,46.83,7/15,3房2廳2衛,淡水區新市二路三段,有,,https://rent.yungching.com.tw/house/2405223
永慶,淡水區,A311紅樹林沁玥,29000,24.89,4/12,2房1廳1衛,淡水區中正東路二段,,,https://rent.yungching.com.tw/house/2404677
永慶,淡水區,觀海全套家具三房加平面車,29500,48.51,3/20,3房2廳2衛,淡水區淡水區新市一路一段,,有,https://rent.yungching.com.tw/house/2404812
永慶,淡水區,合康嘉年華質感三房車位,29500,52.69,9/18,3房2廳2衛,淡水區淡水區新市一路一段,有,有,https://rent.yungching.com.tw/house/2372822
永慶,淡水區,勝華V8裝潢三房車,29500,42.66,13/14,3房2廳2衛,淡水區淡水區義山路一段,有,有,https://rent.yungching.com.tw/house/2404466
永慶,淡水區,質感三房勝華V8,29500,42.66,13/14,3房2廳2衛,淡水區淡水區義山路一段,,有,https://rent.yungching.com.tw/house/2405065
永慶,淡水區,合康嘉年華裝潢三房車,29500,52.69,9/15,3房2廳2衛,淡水區新市一路一段,,有,https://rent.yungching.com.tw/house/2339318
永慶,淡水區,勝華V8近輕軌3房平車,29500,42.66,13/14,3房2廳2衛,淡水區義山路一段,,有,https://rent.yungching.com.tw/house/2403446
永慶,淡水區,富麗欣三房平車公園,29500,47.37,11/15,3房2廳2衛,淡水區濱海路二段,,有,https://rent.yungching.com.tw/house/2395003
永慶,淡水區,租-幸福新城店面,30000,43.16,1/5,--房--廳1衛,淡水區淡水區民權路,,,https://rent.yungching.com.tw/house/2405667
永慶,淡水區,近紅樹林捷運小藍海二房車,30000,34.24,6/7,2房2廳1衛,淡水區淡水區中正東路二段,,有,https://rent.yungching.com.tw/house/2394245
永慶,淡水區,康和紅樹林河景裝潢美屋,30000,47.60,7/20,3房2廳2衛,淡水區淡水區中正東路二段,有,,https://rent.yungching.com.tw/house/2403062
永慶,淡水區,理想家質感大3房木地,30000,53.46,9/15,3房2廳2衛,淡水區淡水區新市二路二段,有,有,https://rent.yungching.com.tw/house/2404720
永慶,淡水區,精裝佳瑞高樓,30000,45.18,10/15,3房2廳2衛,淡水區淡水區義山路一段,有,有,https://rent.yungching.com.tw/house/2405843
永慶,淡水區,Park99邊間三房車,30000,43.36,7/15,3房2廳2衛,淡水區淡水區義山路一段,有,有,https://rent.yungching.com.tw/house/2404476
永慶,淡水區,琴境綠意三房藝文宅,30000,48.62,3/15,3房2廳2衛,淡水區義山路一段,,有,https://rent.yungching.com.tw/house/2398385
永慶,淡水區,丰悅夏宮高樓景觀3房車,30000,48.73,13/17,3房2廳2衛,淡水區新春街,有,有,https://rent.yungching.com.tw/house/2392801
永慶,淡水區,晴海面綠地景觀三房雙衛,30000,52.80,12/15,3房2廳2衛,淡水區新市一路一段,有,有,https://rent.yungching.com.tw/house/2392210
永慶,淡水區,領海三房帶車位傢俱電齊,30000,48.74,3/14,3房2廳2衛,淡水區新市五路一段,,有,https://rent.yungching.com.tw/house/2391554
永慶,淡水區,近輕軌近淡江大學大三房,30000,20.00,1/3,3房2廳3衛,淡水區水源街二段,,,https://rent.yungching.com.tw/house/2386155
